epoch,start_height,end_height,target,target_hex,epoch_minimum,epoch_minimum_hex,epoch_minimum_height,pre_g1,pre_g2,pre_g2_over_g1,lambda,deposit,transition_class,crossing_count,selective_opportunity,deeper_records_after_first_crossing,max_shallow_over_deep,post_g1,post_g2
36,72576,74591,76554528428498296726819074079132986384157750623812250673757552640,0000000000ba1800000000000000000000000000000000000000000000000000,1977001647326197632819774152025058243573992905097744200096548,000000000000013af45c4ac4814ab12a69a6e65a40db0e1e3844fcb2ecaddb24,73373,75097868263358893692264649001666853149799932669383560656905880,79780010462417563489560590902529856414686783958388746275620371,1.0623472051515361,2.1009403936496667,True,unique-min,3,False,0,,27626961809891063475833798728672729363853427172494316251339001,75097868263358893692264649001666853149799932669383560656905880
37,74592,76607,52678642966898219212816601311127992435882858542187514726849708032,0000000000800e00000000000000000000000000000000000000000000000000,7373369962077059134556911514387136090145994389338915963380463,0000000000000496a5465517e8b4c30e8dd6619b2721fe6bbb74c75a0c23a2ef,75382,27626961809891063475833798728672729363853427172494316251339001,75097868263358893692264649001666853149799932669383560656905880,2.718281828459045,2.873978787078197,True,unique-min,3,False,0,,10163391271887503173703852019798930843764341453814845019748596,27626961809891063475833798728672729363853427172494316251339001
38,76608,78623,43246870766561725070861386869077695524372774526710079316876591104,0000000000692098000000000000000000000000000000000000000000000000,19883237859610916209374846005695218208828703418829580082937927,0000000000000c5f9521598981f352e39c05a6c09989cf343955cb938f610047,78371,10163391271887503173703852019798930843764341453814845019748596,27626961809891063475833798728672729363853427172494316251339001,2.718281828459045,1.2878609254615534,True,new-second,2,True,1,1.242168597461841,10163391271887503173703852019798930843764341453814845019748596,19883237859610916209374846005695218208828703418829580082937927
39,78624,80639,37817516728945957090904676150631917288430706594442690521085247488,00000000005bede6000000000000000000000000000000000000000000000000,3342264548031500888453475867734264615319015108860282366513304,000000000000021474160fc5559ffaa94c7f7e53f9bb5fbb7179974f5bd6d098,80184,10163391271887503173703852019798930843764341453814845019748596,19883237859610916209374846005695218208828703418829580082937927,1.956358594065845,1.0599481666731014,True,unique-min,1,False,0,,3738902701508689077363975663445537044957775692218794292248256,10163391271887503173703852019798930843764341453814845019748596
40,80640,82655,29373101246077110899697012205905070265841442578602225419818106880,00000000004766ed000000000000000000000000000000000000000000000000,8155697022428019745895051849229302769686120226824961954828406,00000000000005134709f3bfe667a307202d7e23d001142afbd03e9a7c225076,81308,3738902701508689077363975663445537044957775692218794292248256,10163391271887503173703852019798930843764341453814845019748596,2.718281828459045,0.6975564695219795,True,new-second,1,False,0,,3738902701508689077363975663445537044957775692218794292248256,8155697022428019745895051849229302769686120226824961954828406
41,82656,84671,20444488966645742314409346972440253478913291170842138088329707520,000000000031b2a3000000000000000000000000000000000000000000000000,11454956287181942732449630478988818170398016179205695751854225,0000000000000720e13be8075392d32f61bdad67b0652081284420814a041891,83275,3738902701508689077363975663445537044957775692218794292248256,8155697022428019745895051849229302769686120226824961954828406,2.1813076385050363,0.8042208941509411,False,neither,0,False,0,,3738902701508689077363975663445537044957775692218794292248256,8155697022428019745895051849229302769686120226824961954828406
42,84672,86687,19563849255781403323327768731100757126732627316116500830377476096,00000000002f8e9d000000000000000000000000000000000000000000000000,5074449972607912005637169479605599533111997437631415592303898,00000000000003286811b9ea2c249ee89c4cf1c39087b876a827af8ce9c23d1a,86431,3738902701508689077363975663445537044957775692218794292248256,8155697022428019745895051849229302769686120226824961954828406,2.1813076385050363,0.8404217893038647,True,new-second,1,False,0,,3738902701508689077363975663445537044957775692218794292248256,5074449972607912005637169479605599533111997437631415592303898
43,86688,88703,12545026348036226200394850922278603223904369245268262607334146048,00000000001e7eca000000000000000000000000000000000000000000000000,32075257657655116687296106352731608870330633659275225940020585,00000000000013f5e2235e7ebc031bb51f7c1c71536cc8e8955fc119f9e2cd69,88072,3738902701508689077363975663445537044957775692218794292248256,5074449972607912005637169479605599533111997437631415592303898,1.3572030025173736,0.8154698811277467,False,neither,0,False,0,,3738902701508689077363975663445537044957775692218794292248256,5074449972607912005637169479605599533111997437631415592303898
44,88704,90719,8719867261221084516486306056196045840260667577454435863762042880,0000000000153263000000000000000000000000000000000000000000000000,618449065430873501327906809422022547298045046190308237890823,0000000000000062864d8512b92b2f6a0c2a9edcda82aae03063879b3869d507,89665,3738902701508689077363975663445537044957775692218794292248256,5074449972607912005637169479605599533111997437631415592303898,1.3572030025173736,1.1731934487435056,True,unique-min,4,False,0,,1375465436425412553789890410765902532163172156261156427641794,3738902701508689077363975663445537044957775692218794292248256
45,90720,92735,5942996718418989293499865695368015163438891473576991811912597504,00000000000e7256000000000000000000000000000000000000000000000000,499841086082033462563690790966992541793027504953168342051868,000000000000004fa1186f88c245f89757b74b7ef1fa87302ab340b635686c1c,91940,1375465436425412553789890410765902532163172156261156427641794,3738902701508689077363975663445537044957775692218794292248256,2.718281828459045,1.2683210513780572,True,unique-min,3,True,1,4.745038691393303,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794
